ID,Query_Category,Citation,Year,Journal_Source,Paper_Type,Data_Used,Key_Finding,Gap_Limitation,Relevance_Paper
11,RPLS Licensure,"NCEES, ""Squared 2024"" Annual Report",2024,NCEES,Government/institutional data,NCEES exam administration records,"PS exam pass rate: 56% first-time, 39% repeat; FS exam historically ~46% first-time pass rate with only ~287 first-time takers (2016 data); low candidate volume (hundreds not thousands)","Does not publish candidate demographics; historical trend data on candidate volume decline is scattered across annual reports",1
12,Geomatics,"Gonzales & Keane, American Geosciences Institute, ""Geoscience Workforce Projections 2019-2029""",2020,American Geosciences Institute,Empirical (workforce modeling),BLS data and AGI workforce surveys,"Predicted 27% loss of existing geoscience workforce by 2029 due to retirements; supply of ~1,500 graduate degree recipients/year does not meet demand","Covers geosciences broadly (geologists, hydrologists, etc.) -- not specific to surveying/geomatics; may overestimate losses if retirement is delayed",1
13,Geomatics,"Bezdek, ""Who Will Fill the Geoscience Workforce Supply Gap?"" Environmental Science & Technology (ACS)",2009,Environmental Science & Technology,Empirical/Opinion,BLS and NSF data,"Estimated shortfall of over 150,000 geoscientists in US over a decade; majority of geoscientists within 15 years of retirement","Older projection (2009); actual shortfall may differ due to technology changes and economic cycles",1
14,Geomatics,"Project Geospatial, ""The GeoAI Revolution: Charting the 2030 Geospatial Workforce Landscape""",2025,Project Geospatial,Trade/Opinion,Industry analysis and AI adoption data,"41% of employers plan workforce cuts due to AI by 2030; acute gap in mid-career registered professionals near retirement; skills mismatch between traditional geospatial and AI-centric roles","Forward-looking projections with inherent uncertainty; does not isolate land surveying from broader geospatial","1, 3"
15,Cross-Industry: Civil Eng,"ASCE, ""Diversity and Inclusion in Civil and Environmental Engineering,"" Special Issue, Journal of Professional Issues in Engineering Education and Practice, 144(4)",2018,J. Prof. Issues in Eng. Educ. and Practice (ASCE),Special issue (multiple papers),Various,Less than 15% of civil engineers are women and less than 20% are nonwhite; researchers historically focused on gender/race with absence of research on disability and socioeconomic status,"Noted absence of research on disability, veterans, socioeconomic status in civil engineering DEI literature",2
16,Cross-Industry: Civil Eng,"Wynn & Correll (and related JME papers), Gender Diversity in US Construction Industry Leaders, JME 36(5)",2020,Journal of Management in Engineering (ASCE),Empirical,Analysis of executive positions,"Women fill only 3.9% of executive engineering billets despite earning 21.9% of civil engineering bachelor's degrees over 24 years","Focused on leadership/executive level; does not address entry-level pipeline or retention at junior levels",2
17,Cross-Industry: Construction,"Associated General Contractors of America / NCCER, ""2025 Workforce Survey""",2025,AGC/NCCER,Trade survey,Survey of construction firms,"92% of firms report difficulty finding workers; 41% of construction workforce will retire by 2031; only 3% of young adults express interest in construction trades","Industry-wide; does not break out surveying-specific subcontractor workforce",1
18,Cross-Industry: Construction,"Harvard Joint Center for Housing Studies, ""Rebuilding the Construction Trades Workforce""",~2023,Harvard JCHS,Policy/Research brief,CPS and industry data,"Construction lost ~1 million workers in Great Recession and has not recovered; 88% White and 89% male; minorities now 37% of workers (up from 27% in 2003) and women 11% (up from 9%)","Broad construction workforce; includes laborers and operators who differ substantially from surveying professionals","1, 2"
19,Cross-Industry: Construction,"McKinsey & Company, ""Solving US Construction's Worker Shortage""",~2024,McKinsey,Consulting report/Opinion,Industry data and modeling,"Identified labor mismatch as core issue; recommended partnerships with nontraditional talent sources including veterans, formerly incarcerated, and underserved communities","Consulting perspective; not peer-reviewed; may overstate tractability of solutions",3
20,Cross-Industry: Trades,"Gitnux / WifiTalents, ""Diversity Equity and Inclusion in the Plumbing Industry Statistics""",2026,Gitnux / WifiTalents (market research),Data aggregation,Multiple industry sources,"Women are 2.1% of plumbers/pipefitters; 97.4% of contractors are male; Hispanic/Latino workers are 28.4% of plumbing workforce; 80% of tradeswomen report workplace harassment","Aggregated statistics without primary methodology; may mix data years",2
21,Cross-Industry: Trades,"UA (United Association), 2023 Diversity Pipeline Program data; PHCC Equity Hiring Toolkit adoption (2022)",2022-2023,UA / PHCC (trade organizations),Trade/Program data,Program enrollment and outcome data,"UA trained 1,200 underrepresented youth for plumbing apprenticeships; 75 contractors adopted PHCC toolkit increasing minority hires by 18%; DEI-curriculum apprenticeships saw 20% higher minority graduation","Limited to participating organizations; selection effects likely; long-term retention data not reported",3
22,Cross-Industry: Trades,"U.S. DOL, Apprenticeship data; SharkBite pre-apprenticeship analysis",2020-2024,DOL / Industry,Government + trade data,DOL apprenticeship records,"Women are 9% of active apprentices (2020); electrical sector saw 366% growth in young women apprentices over 5 years but overall female share remains under 5%; pre-apprenticeships targeting underrepresented populations show promise","Electrical and plumbing data; no surveying apprenticeship comparison data exists",3
23,Cross-Industry: GIS,"Esri, ""Bridging the Gap: The Rising Demand for Geospatial Professionals Amid Declining Geography Majors""",2024,Esri Community Blog,Trade/Opinion,Industry demand data and enrollment trends,"Exponential growth of digital geographic information generating continued demand for geospatial professionals at all levels; geography major enrollments declining while industry demand increases","Blog post not peer-reviewed; does not provide demographic breakdown of GIS workforce",1
24,Cross-Industry: GIS,"GIM International, ""GIS Jobs: Too Many or Not Enough?""",~2022,GIM International,Trade,Global GIS job market data,"Skills mismatch: recent graduates report competition for GIS jobs while employers say they cannot attract right candidates; geospatial market ~$90B growing to $263B","Does not address demographic composition of GIS workforce; focused on skills rather than diversity","1, 3"
25,Cross-Industry: Architecture,"NCARB, ""NCARB by the Numbers"" (2024 edition)",2024,NCARB,Institutional data,NCARB licensure records,"1 in 3 new architects is a person of color; 2 in 5 are women; 34% of new architects identified as person of color in 2023 (up from 25% in 2019); Black architects remain ~2% of practitioner population","Architecture licensure data is far more granular than surveying licensure data; cannot directly compare to PLS demographics","2, 3"
26,Cross-Industry: Architecture,"AIA, ""Diversity in the Profession of Architecture""",2016,AIA,Institutional research,AIA member survey + Workplace Experiences Survey (1346 respondents),"AIA membership is 67% White, 2% Black, 5% Hispanic, 6% Asian; white men have different workplace experience than all other groups; women of color report worst experiences","Dated (2016); AIA membership may not represent full profession; self-reported data",2
27,Cross-Industry: Architecture,"NCARB/NOMA Joint Survey on minority licensure experience",~2023,NCARB/NOMA,Survey,Survey of minority architecture professionals,"Identified how minority professionals experience obstacles on path to licensure; long path (5-6 year education + internship + exams) disproportionately burdens minorities and underserved populations","Results may not be fully published; specific findings from survey not widely available in search results","2, 3"
28,Cross-Industry: Architecture,"Royal Academy of Engineering, ""Equality, Diversity, and Inclusivity in Engineering, 2013 to 2022: A Review""",2023,Royal Academy of Engineering,Systematic review,Published literature 2013-2022,"COVID-19 exacerbated existing structural inequalities in STEM; inclusion challenges in engineering organizations intrinsically linked to systemic inequality in wider society","UK-focused; may not directly apply to US context; engineering broadly rather than surveying","2, 3"
29,Surveying Education,"Oregon State University Geomatics Program report; ABET accreditation listings",2024-2025,OSU / ABET,Institutional,Program enrollment data,"OSU geomatics thriving with 3 tenured faculty, 3 teaching faculty, 20 grad students, 44 undergrad minors; but nationwide only ~26 ABET-accredited surveying/geomatics programs remain; several programs recently closed (Phoenix College, UConn)","No comprehensive national tracking of surveying program enrollments over time; closures documented anecdotally rather than systematically","1, 3"
30,Surveying Education,"SAM Companies, ""Combatting the Talent Shortage with Apprenticeship Programs""",2024,SAM (industry),Trade/Case study,Company program data,"SAM offering DOL-certified Geomatics Technician apprenticeship: 2-year program with on-the-job training and Journeyman Surveyor Certification; structured as alternative to traditional 4-year degree path","Single company case; no outcome data on retention or demographic composition of apprentices reported",3
