citation,year,journal_or_source,paper_type,data_used,key_finding,gap_or_limitation_noted,relevance_to_paper,verification_status
"Landivar, Disparities in STEM Employment by Sex Race and Hispanic Origin, ACS-24, Census Bureau",2013,U.S. Census Bureau,empirical,2011 ACS PUMS,"Established baseline for demographic tracking of STEM workforce using ACS data","Over a decade old; does not provide surveyor-level granularity",2,web-verified
"Martinez & Christnacht, Intersectionality of Sex Race and Hispanic Origin in STEM Workforce, Census Working Paper",2019,U.S. Census Bureau,empirical,2012-2016 5-year ACS,"Examined intersectionality of sex/race/Hispanic origin in STEM; noted joint effects rarely studied","Working paper; does not single out surveying; broad STEM focus",2,needs-manual-verification
"NSF NCSES, The STEM Labor Force: Scientists Engineers and Skilled Technical Workers, S&E Indicators",2024,NSF/NCSES,government,ACS/NSCG/IPEDS,"Updated STEM workforce diversity data through 2023; continued underrepresentation of Black and Hispanic","No surveyor-specific breakout; broad S&E focus",2,web-verified
"Heydari et al., Paving the Way for Progress: Systematic Literature Review on DEI in AEC Industry, JME 40(3)",2024,J. Management in Engineering (ASCE),review,Academic publications 2010+,"10 influential variable clusters affecting DEI in AEC; mapped barriers and solutions","Covers AEC broadly; surveying not specifically addressed",2/3,web-verified
"Choi Shane & Chih (eds.), Diversity and Inclusion in Engineering-Construction Industry, JME 38(2) Special Collection",2022,J. Management in Engineering (ASCE),special collection,Various empirical studies,"23 articles on segregation inequality labor shortage discrimination in construction; increasing diversity imperative","Construction-focused; does not address land surveying as distinct",2,web-verified
"Pearson & Simmons, Diversity and Inclusion in Civil and Environmental Engineering, JPIEP 144(4)",2018,ASCE J. Prof. Issues in Eng. Ed. and Practice,review,ASEE degree data 2007-2015,"Civil engineering: overwhelmingly male and 60.1% White; Canon 8 added to ASCE Code of Ethics 2017","Civil engineering not surveying; useful comparison",2/3,web-verified
"Shrestha et al., Diversity and Inclusion in Engineering-Construction Industry, JME 38(2)",2022,J. Management in Engineering (ASCE),empirical,BLS/Census/Data USA,"Analyzed employment and wage distributions by gender in construction/engineering; significant labor shortage","Civil engineering/construction focus not surveying",1/2,web-verified
"NCARB, By the Numbers 2024",2024,NCARB,institutional,NCARB licensure records,"1 in 3 new architects is person of color; 2 in 5 are women; 34% POC (up from 25% in 2019); Black ~2% of practitioners","Architecture data far more granular than surveying; cannot directly compare",2/3,web-verified
"AIA, Diversity in the Profession of Architecture",2016,AIA,institutional,AIA member survey (n=1346),"67% White; 2% Black; 5% Hispanic; 6% Asian; women of color report worst workplace experiences","Dated (2016); self-reported",2,web-verified
"ASCE, Demographic Profile Report",2019,ASCE,institutional,ASEE 2019 data,"URM percentages in engineering including African American/Black Hispanic Asian American","Civil engineering focus; useful benchmark for comparison",2/3,web-verified
"AGC/NCCER, 2025 Workforce Survey",2025,AGC/NCCER,trade survey,Survey of construction firms,"92% of firms report difficulty finding workers; 41% of workforce retiring by 2031; 3% of young adults interested","Industry-wide; does not break out surveying",1,web-verified
"Gonzales & Keane, AGI Geoscience Workforce Projections 2019-2029",2020,American Geosciences Institute,empirical,BLS data/AGI surveys,"27% loss of existing geoscience workforce by 2029 due to retirements","Covers geosciences broadly; not specific to surveying/geomatics",1,needs-manual-verification
"ICERES/NABTU, Diversity Equity and Inclusion Initiatives in Construction Trades",2023,NABTU,research report,Apprenticeship data,"Union programs show greater diversity than non-union; women completion 37.6% vs 23.4% in non-union","Construction trades broadly; no surveying-specific data",2/3,web-verified
"Neville, Women in Surveying: Review of Statistics of Chartered Women Professionals, LinkedIn",2020,LinkedIn (opinion),opinion,RICS membership data,"RICS: 16% female Chartered Surveyors (up from 12% in 2012); 31% of new entrants women","UK-focused; not peer-reviewed; does not address race",2,needs-manual-verification
"PDH Academy, Women in Land Surveying: Where We've Been and Where We're Going",2017,PDH Academy (trade),trade,Historical narrative/BLS,"Women ~13% of land surveyor careers (up from 3% in 1980s); 27% of surveying students women","Blog post; no original data analysis",2/3,web-verified
"WGIC, Diverse Workforce and Safe Work Environment Supercharge Geospatial Industry",2023,WGIC (industry),trade,Industry survey,"GIS workforce ~42% female overall; 28% in startups; 32% private sector","GIS/geospatial not land surveying; does not address race in depth",2/3,web-verified
"Klein ISD, Geospatial Engineering & Land Surveying Pathway (Klein Collins HS)",2018-present,Klein ISD (program website),program,Program description,"First TX HS surveying pathway; dual credit AS through Lone Star College; industry certs; partnership with Gratia Geomatics","No published outcome data; diversity demographics not reported",3,web-verified
"NC A&T State University, BS in Geomatics",2020-present,NC A&T (program website),program,Institutional data,"Only HBCU with ABET-accredited 4-year geomatics; 80-90% placement; ~$70K starting salary; NCEES awards","Only one HBCU nationally; no published data on racial demographics of graduates",2/3,web-verified
"SC Survey JAC, Southern California Surveyors Joint Apprenticeship Committee",ongoing,SC Survey JAC (program website),program,Program description,"3-year apprenticeship; Chainman/Chief of Party tracks; explicitly recruits veterans with GI Bill","No published completion rates or demographic data",3,web-verified
"Bolton & Menk, Registered Apprenticeship Programs",2024,Bolton & Menk (program website),program,Program description,"2-year apprenticeship for Survey Technician; Iowa and North Carolina with planned expansion","Newly established; no outcome data yet",3,web-verified
"SAM Companies, Combatting the Talent Shortage with Apprenticeship Programs",2024,SAM (industry),trade,Company program data,"DOL-certified Geomatics Technician apprenticeship; 2-year; alternative to 4-year degree","Single company; no outcome data on retention or demographics",3,web-verified
"NSPS Foundation, Surveying Scholarships",2026,NSPS,institutional,Program data,"~$97K annually through NSPSF; ~$350K/year total with state societies; Trig-Star program","Modest amounts; limited to enrolled students; no impact data",3,web-verified
"DOD SkillBridge Program",ongoing,DOD (government),government,Program listing,"Allows civilian work experience during last 180 days of service; no surveying-specific partnerships found","Significant gap: no surveying firms participating despite MOS 12T alignment",3,web-verified
"MOS 12T Technical Engineer Specialist, Career Profile",2022,Army/trade,trade,Military training data,"17-week AIT; training includes GPS CAD geodetic surveys topographic mapping; directly transferable","No formal military-to-civilian surveying pipeline documented",2/3,web-verified
"UMSL, Geospatial Workforce Development Pilot Program",2026,UMSL (university),program,$5M DOD funding,"K-12 through higher ed pipeline; partnership with NGA; part of GeoFutures initiative","Brand new; no outcome data; defense/intelligence focused not traditional surveying",3,web-verified
"Reskin, Occupational Segregation by Gender Race and Ethnicity, Sociological Focus 29(3)",1996,Sociological Focus,empirical,1990 Census 5% PUMS,"Foundational methodology: classified workers into 52 race-ethnic-sex groups across occupations","Does not focus on surveying; demonstrates PUMS methodology for occupation-level diversity analysis",2,needs-manual-verification
"Equitable Growth, Factsheet: US Occupational Segregation by Race Ethnicity and Gender",2021,Washington Center for Equitable Growth,empirical,ACS/CPS,"Duncan Segregation Index: 56% of Black women would need to change occupations for full integration","Broad labor market; useful methodological framework; no surveyor-specific findings",2,web-verified
"NGAC, Geospatial Workforce Development White Paper, FGDC",2012,FGDC/NGAC (government),review,DOL projections,"Geospatial technology one of 14 sectors projected to add substantial jobs; serious workforce challenge","Over a decade old; broader than land surveying; does not address diversity",1/3,web-verified
"Project Geospatial, The GeoAI Revolution: Charting 2030 Geospatial Workforce Landscape",2025,Project Geospatial,trade,Industry/AI analysis,"41% of employers plan workforce cuts due to AI by 2030; acute gap in mid-career registered professionals","Forward-looking projections with uncertainty; does not isolate land surveying",1/3,needs-manual-verification
"OSU Geomatics Program / ABET accreditation listings",2024-2025,OSU/ABET,institutional,Program data,"OSU thriving with 3 tenured + 3 teaching faculty; but only ~26 ABET surveying programs remain nationally; closures documented","No comprehensive national tracking of enrollments over time",1/3,web-verified
